25.05.08;44,31;01:18:49;35.31;53.12;33,18;41,51;Wolkig;1;4;k. A.;Nord- Ost;22,2;Niederkruechten, Merbeck, Schwaam, Rickelrath, Broich,Beeck, Moorshoven, Schoenhausen, Rath, Kehrbusch, Schwanenberg, Gerderhahn, Gerderath, Flugplatz, Arsbeck
27.05.08;44,39;01:18:29;35.43;52.45;32,97;41,5;Bedeckt;2;11;k. A.;Nord- Ost;21,5;Niederkruechten, Merbeck, Schwaam, Rickelrath, Broich,Beeck, Moorshoven, Schoenhausen, Rath, Kehrbusch, Schwanenberg, Gerderhahn, Gerderath, Flugplatz, Arsbeck
05.06.08;46,87;01:24:10;34.57;52.59;32,06;43,87;Beweoelkt;3;15;k. A.;Nord- West;18;"Wildenrath, Myhl, Gerderath, Gerderhahn, Schwannenberg, Kehrbusch, Rath- Anhoven, Erkelenz, Rath- Anhoven, Schoenhausen, beeck, Ellinghoven, Broich; Rickelrath, Schwaam, Merbeck, Arsbeck"
07.06.08;50,39;01:30:49;35.44;53.40;32,98;45,61;Bedeckt;2;11;k. A.;Sued- West;17;"Dahlheim, Wildenrath, Myhl, Gerderath, Gerderhahn, Schwannenberg, Kehrbusch, Rath- Anhoven, Erkelenz, Rath- Anhoven, Schoenhausen, beeck, Ellinghoven, Broich; Rickelrath, Schwaam, Merbeck, Arsbeck"
08.06.08;50,35;01:33:37;36.37;54.48;32,15;46,74;Leicht bew.;1;6;k. A.;Nord- West;24,3;Dahlheim, Rothenbach, Oberkruechten, Niederkruechten, Merbeck, Schwaam, Rickelrath, Broich, Ellinghoven, Beeck, Wegberg, Watern, Klinkum, Arsbeck
10.06.08;50,41;01:33:24;37.43;55.14;31,81;47,56;Leicht bew.;3;19;33;Nord- West;24,4;Dahlheim, Rothenbach, Oberkruechten, Niederkruechten, Merbeck, Schwaam, Rickelrath, Broich, Ellinghoven, Beeck, Wegberg, Watern, Klinkum, Arsbeck
14.06.08;45,72;01:24:27;36.43;54.52;31,93;45,61;Leichter Regen;2;9;15;Sued- West;13,2;Dalheim, Wildenrath, Myhl, Gerderath, Gerderhahn, Genholt, Schwanenberg, Kehrbusch, Rath- Anhoven, Schoenhausen, Beeck, Ellinghoven, Broich, Berg, Ricklerath, Schwaam, Merbeck, Niederkruechten, Arsbeck
17.06.08;50,37;01:34:36;36.31;54.21;31,38;43,46;Leicht bew.;1;6;0;West;21,6;Dahlheim, Rothenbach, Oberkruechten, Niederkruechten, Merbeck, Schwaam, Rickelrath, Broich, Ellinghoven, Beeck, Wegberg, Watern, Klinkum, Arsbeck
18.06.08;50,34;01:33:04;35.36;54.48;32,12;44,73;Leicht bew.;3;19;30;Sued- West;23,2;"Dahlheim, Wildenrath, Myhl, Gerderath, Gerderhahn, Schwannenberg, Kehrbusch, Rath- Anhoven, Erkelenz, Rath- Anhoven, Schoenhausen, beeck, Ellinghoven, Broich; Rickelrath, Schwaam, Merbeck, Arsbeck"
23.06.08;50,86;01:32:35;37.36;55,04;32,01;44,73;Sonnig;2;11;0;Nord- West;21,1;Dahlheim, Rothenbach, Oberkruechten, Niederkruechten, Merbeck, Schwaam, Rickelrath, Broich, Ellinghoven, Beeck, Wegberg, Watern, Klinkum, Arsbeck
